BOROUGH,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,SALE_PRICE,PRICE_B
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2401,1178,1960,1,357000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3555,1324,1925,1,330000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,3555,1380,1935,1,420000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2002,855,1910,1,175000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,3788,870,1910,1,784000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,5004,1294,1925,1,570000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,5004,1294,1925,1,119000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,4750,550,1935,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,2310,1935,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1706,1732,1965,1,1,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2205,1320,1960,1,417000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1706,1732,1965,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,2870,2015,1,515000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,2870,2015,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1744,1955,1,430000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1520,1088,1955,1,375000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2375,703,1930,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2642,1690,1950,1,420000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1690,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4297,1200,1920,1,460000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1534,1955,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2685,1770,1930,1,0,0.0
